0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:52:22 +0530] "GET /tendermanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:52:22 +0530] "GET /tendermanagement/images/logo.png HTTP/1.1" 200 59860
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/updatePassword.jsp HTTP/1.1" 200 23793
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/css/SpryTabbedPanels.css HTTP/1.1" 200 9261
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/css/style2.css HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/css/annimate.css HTTP/1.1" 200 81370
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/js/script.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/js/ajax-utils.js HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/js/bootstrap-dropdownhover.min.js HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/images/logo.png HTTP/1.1" 200 59860
0:0:0:0:0:0:0:1 - - [17/Sep/2022:15:53:14 +0530] "GET /tendermanagement/images/Mr.%20Vishal%20Sonwane.jpg HTTP/1.1" 200 304036
